READ865	CONTIG2
READ395	CONTIG851
READ777	CONTIG716
READ912	CONTIG460
READ431	CONTIG634
READ42	CONTIG474
READ266	CONTIG8
READ989	CONTIG224
READ524	CONTIG306
READ498	CONTIG118
READ415	CONTIG788
READ941	CONTIG645
READ803	CONTIG309
READ850	CONTIG559
READ311	CONTIG624
READ489	CONTIG160
READ367	CONTIG435
READ598	CONTIG724
READ914	CONTIG770
READ930	CONTIG483
READ224	CONTIG95
READ517	CONTIG695
READ143	CONTIG510
READ289	CONTIG779
READ144	CONTIG984
READ774	CONTIG238
READ98	CONTIG557
READ634	CONTIG781
READ819	CONTIG416
READ257	CONTIG287
READ932	CONTIG648
READ546	CONTIG23
READ723	CONTIG124
READ830	CONTIG277
READ617	CONTIG905
READ924	CONTIG685
READ151	CONTIG42
READ318	CONTIG1
READ102	CONTIG263
READ748	CONTIG408
READ76	CONTIG539
READ921	CONTIG912
READ871	CONTIG596
READ701	CONTIG728
READ339	CONTIG406
READ484	CONTIG456
READ574	CONTIG105
READ104	CONTIG765
READ363	CONTIG259
READ445	CONTIG363
READ324	CONTIG291
READ626	CONTIG893
READ656	CONTIG774
READ935	CONTIG689
READ210	CONTIG931
READ566	CONTIG201
READ985	CONTIG610
READ454	CONTIG88
READ887	CONTIG37
READ534	CONTIG73
READ267	CONTIG812
READ64	CONTIG269
READ825	CONTIG313
READ562	CONTIG547
READ15	CONTIG349
READ96	CONTIG122
READ737	CONTIG543
READ861	CONTIG881
READ409	CONTIG256
READ728	CONTIG913
READ845	CONTIG943
READ804	CONTIG781
READ685	CONTIG168
READ641	CONTIG70
READ2	CONTIG425
READ627	CONTIG882
READ506	CONTIG297
READ848	CONTIG290
READ889	CONTIG533
READ342	CONTIG138
READ250	CONTIG588
READ961	CONTIG536
READ334	CONTIG643
READ721	CONTIG216
READ892	CONTIG545
READ65	CONTIG108
READ196	CONTIG421
READ582	CONTIG979
READ228	CONTIG650
READ245	CONTIG557
READ823	CONTIG414
READ146	CONTIG760
READ910	CONTIG798
READ557	CONTIG926
READ459	CONTIG808
READ94	CONTIG286
READ83	CONTIG300
READ328	CONTIG453
READ897	CONTIG381
READ521	CONTIG582
READ502	CONTIG644
READ112	CONTIG142
READ309	CONTIG161
READ565	CONTIG127
READ299	CONTIG714
READ724	CONTIG124
READ128	CONTIG391
READ561	CONTIG411
READ341	CONTIG606
READ835	CONTIG480
READ554	CONTIG143
READ209	CONTIG574
READ972	CONTIG685
READ618	CONTIG307
READ893	CONTIG363
READ602	CONTIG648
READ295	CONTIG485
READ456	CONTIG761
READ905	CONTIG426
READ611	CONTIG224
READ818	CONTIG489
READ999	CONTIG501
READ325	CONTIG712
READ590	CONTIG514
READ248	CONTIG326
READ298	CONTIG505
READ189	CONTIG668
READ194	CONTIG982
READ842	CONTIG62
READ192	CONTIG455
READ34	CONTIG308
READ628	CONTIG147
READ673	CONTIG764
READ940	CONTIG508
READ488	CONTIG54
READ71	CONTIG909
READ92	CONTIG637
READ696	CONTIG221
READ776	CONTIG27
READ134	CONTIG364
READ154	CONTIG483
READ40	CONTIG401
READ904	CONTIG910
READ717	CONTIG11
READ987	CONTIG867
READ890	CONTIG540
READ700	CONTIG69
READ401	CONTIG704
READ968	CONTIG888
READ538	CONTIG84
READ283	CONTIG703
READ535	CONTIG973
READ832	CONTIG760
READ242	CONTIG947
READ221	CONTIG686
READ863	CONTIG405
READ604	CONTIG7
READ430	CONTIG370
READ594	CONTIG43
READ282	CONTIG119
READ462	CONTIG636
READ505	CONTIG4
READ677	CONTIG277
READ657	CONTIG895
READ718	CONTIG656
READ813	CONTIG717
READ366	CONTIG300
READ85	CONTIG745
READ333	CONTIG923
READ869	CONTIG233
READ119	CONTIG145
READ499	CONTIG770
READ885	CONTIG587
READ646	CONTIG295
READ344	CONTIG196
READ195	CONTIG108
READ249	CONTIG445
READ17	CONTIG472
READ750	CONTIG734
READ278	CONTIG339
READ120	CONTIG394
READ852	CONTIG173
READ226	CONTIG339
READ381	CONTIG432
READ814	CONTIG664
READ175	CONTIG919
READ916	CONTIG704
READ437	CONTIG446
READ939	CONTIG152
READ953	CONTIG459
READ802	CONTIG956
READ150	CONTIG726
READ715	CONTIG152
READ225	CONTIG537
READ47	CONTIG324
READ588	CONTIG133
READ650	CONTIG214
READ548	CONTIG933
READ966	CONTIG192
READ697	CONTIG455
READ960	CONTIG358
READ28	CONTIG809
READ894	CONTIG399
READ651	CONTIG438
READ873	CONTIG827
READ621	CONTIG504
READ877	CONTIG399
READ123	CONTIG748
READ853	CONTIG226
READ882	CONTIG815
READ380	CONTIG201
READ967	CONTIG450
READ38	CONTIG963
READ795	CONTIG210
READ23	CONTIG601
READ200	CONTIG728
READ190	CONTIG51
READ736	CONTIG928
READ127	CONTIG398
READ491	CONTIG35
READ216	CONTIG240
READ745	CONTIG649
READ63	CONTIG87
READ981	CONTIG892
READ24	CONTIG192
READ558	CONTIG373
READ436	CONTIG59
READ636	CONTIG761
READ811	CONTIG654
READ867	CONTIG694
READ72	CONTIG178
READ227	CONTIG239
READ74	CONTIG626
READ663	CONTIG305
READ898	CONTIG628
READ359	CONTIG89
READ447	CONTIG722
READ185	CONTIG890
READ778	CONTIG525
READ516	CONTIG770
READ479	CONTIG292
READ41	CONTIG790
READ881	CONTIG899
READ772	CONTIG905
READ857	CONTIG362
READ792	CONTIG422
READ205	CONTIG470
READ771	CONTIG56
READ368	CONTIG648
READ822	CONTIG714
READ482	CONTIG529
READ584	CONTIG682
READ174	CONTIG980
READ808	CONTIG665
READ689	CONTIG978
READ922	CONTIG561
READ60	CONTIG953
READ693	CONTIG753
READ163	CONTIG957
READ166	CONTIG441
READ351	CONTIG595
READ543	CONTIG466
READ971	CONTIG502
READ121	CONTIG261
READ612	CONTIG722
READ453	CONTIG488
READ682	CONTIG221
READ180	CONTIG346
READ14	CONTIG273
READ483	CONTIG44
READ698	CONTIG45
READ420	CONTIG54
READ583	CONTIG167
READ901	CONTIG359
READ319	CONTIG4
READ665	CONTIG297
READ834	CONTIG671
READ398	CONTIG8
READ674	CONTIG144
READ738	CONTIG66
