READ776	CONTIG199
READ340	CONTIG494
READ884	CONTIG131
READ860	CONTIG358
READ122	CONTIG18
READ542	CONTIG241
READ298	CONTIG312
READ106	CONTIG250
READ1000	CONTIG562
READ319	CONTIG868
READ573	CONTIG787
READ935	CONTIG339
READ660	CONTIG39
READ333	CONTIG419
READ126	CONTIG68
READ159	CONTIG463
READ272	CONTIG189
READ425	CONTIG213
READ913	CONTIG28
READ950	CONTIG688
READ322	CONTIG201
READ130	CONTIG495
READ472	CONTIG539
READ247	CONTIG165
READ502	CONTIG711
READ56	CONTIG892
READ905	CONTIG235
READ251	CONTIG602
READ8	CONTIG485
READ820	CONTIG257
READ338	CONTIG211
READ497	CONTIG700
READ280	CONTIG381
READ859	CONTIG135
READ331	CONTIG599
READ102	CONTIG498
READ117	CONTIG789
READ351	CONTIG940
READ791	CONTIG426
READ253	CONTIG597
READ216	CONTIG348
READ76	CONTIG148
READ919	CONTIG843
READ550	CONTIG941
READ731	CONTIG602
READ18	CONTIG505
READ702	CONTIG303
READ737	CONTIG622
READ925	CONTIG237
READ923	CONTIG991
READ639	CONTIG58
READ303	CONTIG366
READ800	CONTIG893
READ227	CONTIG136
READ283	CONTIG628
READ25	CONTIG923
READ809	CONTIG318
READ651	CONTIG536
READ98	CONTIG994
READ701	CONTIG408
READ765	CONTIG139
READ403	CONTIG967
READ336	CONTIG156
READ71	CONTIG236
READ456	CONTIG738
READ613	CONTIG15
READ912	CONTIG350
READ849	CONTIG439
READ164	CONTIG953
READ360	CONTIG384
READ593	CONTIG491
READ803	CONTIG802
READ858	CONTIG794
READ486	CONTIG277
READ934	CONTIG741
READ270	CONTIG471
READ347	CONTIG372
READ37	CONTIG215
READ453	CONTIG37
READ244	CONTIG14
READ879	CONTIG384
READ297	CONTIG569
READ255	CONTIG297
READ741	CONTIG347
READ487	CONTIG886
READ785	CONTIG239
READ496	CONTIG83
READ274	CONTIG355
READ723	CONTIG792
READ948	CONTIG682
READ824	CONTIG350
READ208	CONTIG717
READ888	CONTIG74
READ592	CONTIG612
READ986	CONTIG726
READ745	CONTIG900
READ285	CONTIG312
READ709	CONTIG155
READ904	CONTIG560
READ771	CONTIG855
READ874	CONTIG650
READ10	CONTIG658
READ565	CONTIG441
READ190	CONTIG970
READ597	CONTIG451
READ160	CONTIG888
READ615	CONTIG189
READ641	CONTIG432
READ4	CONTIG175
READ632	CONTIG474
READ223	CONTIG936
READ60	CONTIG420
READ241	CONTIG688
READ133	CONTIG433
READ317	CONTIG348
READ144	CONTIG632
READ260	CONTIG592
READ617	CONTIG549
READ643	CONTIG672
READ623	CONTIG947
READ621	CONTIG482
READ448	CONTIG655
READ972	CONTIG13
READ116	CONTIG18
READ123	CONTIG136
READ312	CONTIG858
READ379	CONTIG103
READ830	CONTIG912
READ365	CONTIG864
READ14	CONTIG786
READ646	CONTIG968
READ805	CONTIG688
READ541	CONTIG307
READ68	CONTIG422
READ262	CONTIG10
READ509	CONTIG506
READ681	CONTIG963
READ659	CONTIG523
READ927	CONTIG743
READ162	CONTIG401
READ451	CONTIG701
READ739	CONTIG988
READ853	CONTIG493
READ814	CONTIG677
READ614	CONTIG168
READ772	CONTIG123
READ42	CONTIG657
READ377	CONTIG707
READ943	CONTIG890
READ721	CONTIG232
READ936	CONTIG706
READ189	CONTIG521
READ452	CONTIG836
READ635	CONTIG425
READ683	CONTIG765
READ380	CONTIG110
READ555	CONTIG424
READ288	CONTIG286
READ501	CONTIG150
READ851	CONTIG412
READ107	CONTIG356
READ100	CONTIG467
READ158	CONTIG514
READ661	CONTIG800
READ205	CONTIG984
READ471	CONTIG407
READ207	CONTIG118
READ147	CONTIG192
READ57	CONTIG941
READ15	CONTIG169
READ273	CONTIG377
READ366	CONTIG445
READ70	CONTIG807
READ945	CONTIG715
READ835	CONTIG45
READ436	CONTIG326
READ991	CONTIG268
READ311	CONTIG818
READ633	CONTIG446
READ968	CONTIG524
READ450	CONTIG585
READ313	CONTIG107
READ691	CONTIG79
READ747	CONTIG646
READ121	CONTIG714
READ538	CONTIG599
READ914	CONTIG307
READ291	CONTIG102
READ344	CONTIG160
READ306	CONTIG371
READ183	CONTIG90
READ29	CONTIG45
READ837	CONTIG551
READ732	CONTIG801
READ20	CONTIG326
READ769	CONTIG715
READ443	CONTIG611
READ850	CONTIG222
READ24	CONTIG349
READ854	CONTIG235
READ171	CONTIG194
READ468	CONTIG877
READ609	CONTIG239
READ699	CONTIG851
READ458	CONTIG589
READ887	CONTIG468
READ763	CONTIG951
READ433	CONTIG18
READ414	CONTIG907
READ432	CONTIG957
READ507	CONTIG31
READ940	CONTIG17
READ869	CONTIG394
READ640	CONTIG828
READ153	CONTIG418
READ66	CONTIG822
READ320	CONTIG197
READ664	CONTIG793
READ672	CONTIG848
READ137	CONTIG400
READ756	CONTIG421
READ296	CONTIG800
READ334	CONTIG927
READ726	CONTIG934
READ48	CONTIG666
READ534	CONTIG64
READ670	CONTIG992
READ277	CONTIG120
READ209	CONTIG84
READ843	CONTIG443
READ473	CONTIG367
READ197	CONTIG469
READ419	CONTIG846
READ949	CONTIG328
READ314	CONTIG177
READ410	CONTIG930
READ394	CONTIG351
READ435	CONTIG787
READ795	CONTIG521
READ523	CONTIG603
READ438	CONTIG869
READ483	CONTIG942
READ105	CONTIG153
READ689	CONTIG575
READ899	CONTIG11
READ864	CONTIG567
READ398	CONTIG421
READ829	CONTIG262
READ32	CONTIG666
READ399	CONTIG575
READ603	CONTIG863
READ547	CONTIG625
READ462	CONTIG793
READ91	CONTIG213
READ513	CONTIG449
READ78	CONTIG393
READ221	CONTIG824
READ847	CONTIG923
READ224	CONTIG815
READ293	CONTIG871
READ254	CONTIG987
READ794	CONTIG468
READ426	CONTIG946
READ979	CONTIG226
READ642	CONTIG254
READ754	CONTIG486
READ599	CONTIG405
READ226	CONTIG261
READ775	CONTIG214
READ842	CONTIG744
READ631	CONTIG349
READ38	CONTIG788
READ585	CONTIG388
READ85	CONTIG309
READ975	CONTIG938
READ928	CONTIG817
READ667	CONTIG134
READ861	CONTIG919
READ826	CONTIG188
READ120	CONTIG638
READ710	CONTIG680
READ73	CONTIG602
READ302	CONTIG142
READ284	CONTIG706
READ249	CONTIG149
READ350	CONTIG840
READ564	CONTIG630
READ382	CONTIG744
READ669	CONTIG368
READ637	CONTIG288
READ688	CONTIG945
READ692	CONTIG155
READ392	CONTIG656
READ678	CONTIG830
READ80	CONTIG103
READ792	CONTIG965
READ677	CONTIG525
READ767	CONTIG582
READ636	CONTIG509
READ416	CONTIG223
READ581	CONTIG903
READ652	CONTIG144
READ412	CONTIG979
READ33	CONTIG363
READ40	CONTIG147
READ892	CONTIG747
READ896	CONTIG514
READ397	CONTIG359
READ616	CONTIG905
READ146	CONTIG753
READ213	CONTIG924
READ807	CONTIG625
READ308	CONTIG717
READ114	CONTIG527
READ700	CONTIG911
READ921	CONTIG276
READ371	CONTIG914
READ832	CONTIG678
READ608	CONTIG624
READ939	CONTIG581
READ806	CONTIG790
READ346	CONTIG537
READ301	CONTIG164
READ281	CONTIG100
READ495	CONTIG234
READ261	CONTIG946
READ957	CONTIG875
READ711	CONTIG209
READ287	CONTIG881
READ370	CONTIG41
READ644	CONTIG437
READ992	CONTIG22
READ958	CONTIG132
READ567	CONTIG981
READ90	CONTIG123
READ192	CONTIG969
READ981	CONTIG738
READ129	CONTIG685
READ409	CONTIG64
READ258	CONTIG968
READ490	CONTIG286
READ784	CONTIG97
READ341	CONTIG281
READ618	CONTIG668
READ408	CONTIG698
READ517	CONTIG240
READ264	CONTIG550
READ696	CONTIG604
READ977	CONTIG613
READ118	CONTIG419
READ908	CONTIG729
READ22	CONTIG339
READ910	CONTIG110
READ685	CONTIG620
READ318	CONTIG132
READ506	CONTIG241
READ944	CONTIG682
READ901	CONTIG688
READ811	CONTIG846
READ822	CONTIG862
READ579	CONTIG106
READ194	CONTIG367
READ532	CONTIG254
READ877	CONTIG548
READ269	CONTIG158
READ781	CONTIG739
READ902	CONTIG245
READ152	CONTIG239
READ764	CONTIG38
READ924	CONTIG136
READ461	CONTIG559
READ736	CONTIG304
READ294	CONTIG135
READ955	CONTIG373
READ265	CONTIG430
READ145	CONTIG761
READ782	CONTIG800
READ59	CONTIG608
READ746	CONTIG876
READ650	CONTIG590
READ34	CONTIG81
READ886	CONTIG788
READ857	CONTIG589
READ369	CONTIG42
READ195	CONTIG86
READ204	CONTIG320
READ142	CONTIG306
READ440	CONTIG789
READ150	CONTIG573
READ941	CONTIG362
READ396	CONTIG116
READ112	CONTIG585
READ929	CONTIG17
READ540	CONTIG864
READ239	CONTIG186
READ238	CONTIG368
READ611	CONTIG722
READ21	CONTIG520
READ961	CONTIG528
READ230	CONTIG370
READ128	CONTIG889
READ457	CONTIG7
READ932	CONTIG945
READ97	CONTIG200
READ82	CONTIG197
READ175	CONTIG210
READ653	CONTIG398
READ790	CONTIG309
READ439	CONTIG889
READ740	CONTIG992
READ430	CONTIG156
READ562	CONTIG793
READ566	CONTIG547
READ578	CONTIG491
READ328	CONTIG442
READ804	CONTIG249
READ201	CONTIG32
READ444	CONTIG820
READ2	CONTIG590
READ417	CONTIG253
READ918	CONTIG239
READ725	CONTIG691
READ818	CONTIG441
READ524	CONTIG267
READ881	CONTIG962
READ963	CONTIG801
READ445	CONTIG168
READ30	CONTIG99
READ140	CONTIG281
READ393	CONTIG167
READ404	CONTIG721
READ956	CONTIG279
READ494	CONTIG990
READ357	CONTIG80
READ367	CONTIG810
READ310	CONTIG394
READ762	CONTIG367
READ279	CONTIG124
READ50	CONTIG923
READ627	CONTIG418
READ475	CONTIG297
READ535	CONTIG311
READ907	CONTIG254
READ999	CONTIG987
READ391	CONTIG523
READ965	CONTIG533
READ759	CONTIG180
READ638	CONTIG553
READ819	CONTIG179
READ604	CONTIG577
READ45	CONTIG8
READ233	CONTIG19
READ176	CONTIG609
READ705	CONTIG281
READ799	CONTIG935
READ743	CONTIG702
READ67	CONTIG925
READ989	CONTIG98
READ278	CONTIG226
READ139	CONTIG854
READ275	CONTIG857
READ225	CONTIG823
READ522	CONTIG252
READ132	CONTIG848
READ185	CONTIG313
READ383	CONTIG232
READ697	CONTIG832
READ920	CONTIG276
READ263	CONTIG933
READ612	CONTIG218
READ734	CONTIG797
READ154	CONTIG191
READ434	CONTIG383
READ570	CONTIG691
READ93	CONTIG500
READ810	CONTIG841
READ586	CONTIG899
READ11	CONTIG868
READ560	CONTIG400
READ231	CONTIG230
READ356	CONTIG790
READ354	CONTIG569
READ588	CONTIG894
READ891	CONTIG237
READ431	CONTIG38
READ27	CONTIG305
